order_id,customer_id,order_amount_paise,currency,order_date,order_status
ORD_0001,CUST_001,250000,INR,2026-02-02,PAID
ORD_0002,CUST_002,1000000,INR,2026-02-03,PAID
ORD_0003,CUST_003,480000,INR,2026-02-02,PAID
ORD_0004,CUST_004,620000,INR,2026-02-04,PAID
ORD_0005,CUST_005,310000,INR,2026-02-05,PAID
ORD_0006,CUST_006,900000,INR,2026-02-06,PAID
ORD_0007,CUST_007,1000000,INR,2026-02-08,PAID
ORD_0008,CUST_008,120200,INR,2026-02-10,PAID
ORD_0009,CUST_009,180500,INR,2026-02-10,PAID
ORD_0010,CUST_010,240700,INR,2026-02-10,PAID
ORD_0011,CUST_011,300800,INR,2026-02-10,PAID
ORD_0012,CUST_012,361000,INR,2026-02-10,PAID
ORD_0013,CUST_013,421100,INR,2026-02-10,PAID
ORD_0014,CUST_014,1200000,INR,2026-02-12,PAID
ORD_0015,CUST_015,800000,INR,2026-02-14,PAID
ORD_0016,CUST_016,700000,INR,2026-02-16,PAID
ORD_0017,CUST_017,250000,INR,2026-02-17,PAID
ORD_0018,CUST_018,950000,INR,2026-02-18,PAID
ORD_0019,CUST_019,1400000,INR,2026-02-20,PAID
ORD_0020,CUST_020,900000,INR,2026-02-22,PAID
ORD_0021,CUST_021,600000,INR,2026-02-23,PAID
ORD_0022,CUST_022,700000,INR,2026-02-24,PAID
ORD_0023,CUST_023,550000,INR,2026-02-26,PAID
ORD_0024,CUST_024,1100000,INR,2026-02-28,PAID
ORD_0025,CUST_025,1000000,INR,2026-03-02,PAID
ORD_0026,CUST_026,850000,INR,2026-03-04,PAID
ORD_0027,CUST_001,1250000,INR,2026-03-06,PAID
ORD_0028,CUST_002,1200000,INR,2026-03-08,PAID
ORD_0029,CUST_003,950000,INR,2026-03-10,PAID
ORD_0030,CUST_004,450000,INR,2026-03-12,PAID
ORD_0031,CUST_005,450000,INR,2026-03-12,PAID
ORD_0032,CUST_006,500000,INR,2026-03-14,PAID
ORD_0033,CUST_007,500000,INR,2026-03-16,PAID
ORD_0034,CUST_008,485000,INR,2026-03-16,PAID
ORD_0035,CUST_009,250000,INR,2026-03-16,PAID
ORD_0036,CUST_010,1120000,INR,2026-03-16,PAID
ORD_0037,CUST_011,318000,INR,2026-03-16,PAID
ORD_0038,CUST_012,742000,INR,2026-03-17,PAID
ORD_0039,CUST_013,196000,INR,2026-03-17,PAID
ORD_0040,CUST_014,655000,INR,2026-03-17,PAID
ORD_0041,CUST_015,1480000,INR,2026-03-18,PAID
ORD_0042,CUST_016,409000,INR,2026-03-18,PAID
ORD_0043,CUST_017,275000,INR,2026-03-18,PAID
ORD_0044,CUST_018,890000,INR,2026-03-18,PAID
ORD_0045,CUST_019,533000,INR,2026-03-19,PAID
ORD_0046,CUST_020,167000,INR,2026-03-19,PAID
